"","k","distance","kernel","scale","classif.ce"
"167",5,3,"inv",TRUE,0.316103896103896
"168",15,3,"optimal",FALSE,0.316233766233766
"169",12,1,"optimal",FALSE,0.316883116883117
"170",5,2,"inv",FALSE,0.317012987012987
"171",10,3,"optimal",FALSE,0.317099567099567
"172",12,2,"optimal",FALSE,0.317142857142857
"173",7,3,"triangular",TRUE,0.317792207792208
"174",15,2,"optimal",TRUE,0.317878787878788
"175",4,2,"inv",FALSE,0.317965367965368
"176",9,3,"triangular",FALSE,0.318051948051948
"177",10,2,"triangular",FALSE,0.318181818181818
"178",14,3,"optimal",FALSE,0.319090909090909
"179",4,2,"gaussian",FALSE,0.31982683982684
"180",12,2,"inv",TRUE,0.31991341991342
"181",5,3,"rectangular",FALSE,0.31995670995671
"182",12,3,"optimal",TRUE,0.31995670995671
"183",7,1,"rectangular",TRUE,0.320562770562771
"184",14,1,"triangular",FALSE,0.320692640692641
"185",7,2,"gaussian",TRUE,0.320692640692641
"186",14,1,"rectangular",TRUE,0.320995670995671
"187",12,3,"optimal",FALSE,0.321774891774892
"188",7,2,"inv",TRUE,0.322597402597403
"189",5,3,"gaussian",TRUE,0.322597402597403
"190",12,1,"rectangular",TRUE,0.322813852813853
"191",15,1,"rectangular",TRUE,0.322813852813853
"192",15,1,"triangular",FALSE,0.323333333333333
"193",14,1,"inv",FALSE,0.323593073593074
"194",10,3,"triangular",FALSE,0.323636363636364
"195",4,3,"inv",FALSE,0.323679653679654
"196",9,3,"triangular",TRUE,0.324372294372294
"197",12,2,"gaussian",TRUE,0.324415584415584
"198",15,1,"inv",FALSE,0.324545454545455
"199",12,2,"triangular",FALSE,0.324545454545455
"200",4,3,"gaussian",FALSE,0.324588744588745
"201",12,3,"inv",TRUE,0.325367965367965
"202",14,3,"optimal",TRUE,0.325541125541126
"203",4,3,"rectangular",FALSE,0.326406926406926
"204",10,3,"inv",TRUE,0.326406926406926
"205",12,3,"triangular",TRUE,0.326493506493507
"206",4,2,"rectangular",FALSE,0.327272727272727
"207",15,3,"optimal",TRUE,0.327359307359307
"208",15,2,"inv",TRUE,0.328051948051948
"209",15,2,"gaussian",TRUE,0.328138528138528
"210",7,3,"inv",FALSE,0.328181818181818
"211",14,2,"triangular",FALSE,0.328225108225108
"212",5,2,"rectangular",TRUE,0.328268398268398
"213",14,3,"triangular",TRUE,0.328311688311688
"214",9,1,"inv",FALSE,0.329134199134199
"215",5,2,"rectangular",FALSE,0.329134199134199
"216",10,3,"triangular",TRUE,0.329220779220779
"217",15,2,"optimal",FALSE,0.329393939393939
"218",15,2,"triangular",FALSE,0.33
"219",14,2,"gaussian",TRUE,0.33017316017316
"220",15,3,"triangular",TRUE,0.33021645021645
"221",9,3,"inv",TRUE,0.33021645021645
"222",10,1,"rectangular",TRUE,0.33025974025974
"223",12,3,"gaussian",TRUE,0.330952380952381
"224",14,2,"inv",TRUE,0.330995670995671
"225",14,1,"optimal",FALSE,0.331082251082251
"226",14,2,"optimal",FALSE,0.331255411255411
"227",15,1,"gaussian",FALSE,0.331818181818182
"228",15,1,"optimal",FALSE,0.331861471861472
"229",9,3,"gaussian",TRUE,0.332077922077922
"230",7,2,"inv",FALSE,0.332770562770563
