"","k","distance","kernel","scale","classif.ce"
"219",14,1,"rectangular",TRUE,0.325194805194805
"220",14,3,"triangular",TRUE,0.325281385281385
"221",14,3,"optimal",TRUE,0.325367965367965
"222",14,2,"gaussian",TRUE,0.325454545454545
"223",15,2,"optimal",FALSE,0.325541125541126
"224",15,3,"triangular",TRUE,0.326320346320346
"225",15,1,"rectangular",TRUE,0.326969696969697
"226",14,2,"inv",TRUE,0.327099567099567
"227",15,3,"optimal",FALSE,0.327186147186147
"228",5,2,"rectangular",TRUE,0.327229437229437
"229",15,3,"optimal",TRUE,0.327272727272727
"230",10,3,"inv",TRUE,0.328138528138528
"231",9,3,"triangular",TRUE,0.328225108225108
"232",12,3,"inv",TRUE,0.329004329004329
"233",7,2,"gaussian",FALSE,0.329090909090909
"234",15,1,"rectangular",FALSE,0.330822510822511
"235",15,2,"inv",TRUE,0.330865800865801
"236",14,3,"triangular",FALSE,0.330995670995671
"237",7,3,"inv",TRUE,0.331125541125541
"238",12,1,"rectangular",TRUE,0.331645021645022
"239",10,3,"gaussian",FALSE,0.331774891774892
"240",10,3,"triangular",TRUE,0.331948051948052
"241",12,3,"triangular",TRUE,0.331991341991342
"242",15,2,"gaussian",TRUE,0.332987012987013
"243",12,1,"rectangular",FALSE,0.333549783549784
"244",15,3,"triangular",FALSE,0.333766233766234
"245",10,2,"inv",FALSE,0.334502164502164
"246",9,2,"gaussian",FALSE,0.334761904761905
"247",9,3,"inv",TRUE,0.334891774891775
"248",10,2,"gaussian",FALSE,0.337489177489178
"249",10,3,"inv",FALSE,0.339134199134199
"250",14,3,"inv",TRUE,0.339264069264069
"251",15,2,"inv",FALSE,0.339264069264069
"252",15,3,"inv",TRUE,0.339393939393939
"253",9,1,"rectangular",FALSE,0.34025974025974
"254",10,1,"rectangular",FALSE,0.341038961038961
"255",14,3,"gaussian",TRUE,0.341341991341991
"256",9,3,"inv",FALSE,0.342077922077922
"257",10,1,"rectangular",TRUE,0.343722943722944
"258",9,3,"gaussian",FALSE,0.343982683982684
"259",12,3,"gaussian",TRUE,0.344069264069264
"260",14,2,"inv",FALSE,0.344891774891775
"261",10,3,"gaussian",TRUE,0.345021645021645
"262",7,3,"gaussian",TRUE,0.345108225108225
"263",15,3,"gaussian",TRUE,0.345108225108225
"264",9,1,"rectangular",TRUE,0.345757575757576
"265",5,3,"rectangular",TRUE,0.345887445887446
"266",15,2,"gaussian",FALSE,0.345974025974026
