cve_ent,poblacion,nombre,casos
5012,1964,Guerrero,32
7008,30925,Angel Albino Corzo,43
7009,44264,Arriaga,163
16069,110385,La Piedad,2150
16070,16103,Purepero,196
16071,70372,Puruandiro,580
16072,14356,Querendaro,137
16073,29118,Quiroga,254
16074,10935,Cojumatlan de Regules,111
16075,73199,Los Reyes,1116
16076,81371,Sahuayo,810
16077,18936,San Lucas,190
16078,13124,Santa Ana Maya,105
16079,51652,Salvador Escalante,242
16080,19980,Senguio,57
16081,9161,Susupuato,34
16082,81105,Tacambaro,602
16083,32707,Tancitaro,210
16084,30945,Tangamandapio,199
16085,35305,Tangancicuaro,241
16086,16286,Tanhuato,90
16087,15465,Taretan,327
5013,1888,Hidalgo,22
5014,10994,Jimenez,69
7036,7882,La Grandeza,2
7037,38185,Huehuetan,105
5015,1722,Juarez,23
5016,1984,Lamadrid,97
5017,119492,Matamoros,1773
7038,25616,Huixtan,16
7039,25161,Huitiupan,3
7040,59209,Huixtla,508
7041,49602,La Independencia,20
7042,12317,Ixhuatan,9
7043,11777,Ixtacomitan,34
7044,29778,Ixtapa,20
7045,5988,Ixtapangajoya,37
5018,251346,Monclova,8955
7047,22619,Jitotol,30
7048,23527,Juarez,75
7049,25725,Larrainzar,20
7050,5424,La Libertad,66
7051,51875,Mapastepec,118
7052,134759,Las Margaritas,123
16090,15878,Tingambato,58
16091,15337,Tingüindin,115
5022,33101,Nava,946
5023,11628,Ocampo,166
7070,15501,El Porvenir,7
7071,31522,Villa Comaltitlan,47
5024,48694,Parras,2009
5025,177255,Piedras Negras,8261
7106,70992,Venustiano Carranza,188
7107,85784,Villa Corzo,92
7108,115691,Villaflores,353
7109,41655,Yajalon,35
7110,7896,San Lucas,9
7111,44824,Zinacantan,12
5026,3654,Progreso,48
5027,103252,Ramos Arizpe,1901
16093,30331,Tlalpujahua,157
16094,6654,Tlazazalca,58
16095,12593,Tocumbo,137
16096,6992,Tumbiscatio,21
16097,32588,Turicato,182
16098,28471,Tuxpan,401
16099,15964,Tuzantla,249
16100,15139,Tzintzuntzan,217
16101,9026,Tzitzio,62
16102,354727,Uruapan,8285
16103,26074,Venustiano Carranza,116
16104,17460,Villamar,148
16105,21677,Vista Hermosa,85
16106,33136,Yurecuaro,277
16107,79809,Zacapu,1687
16108,207985,Zamora,3224
5028,69500,Sabinas,3364
16110,49471,Zinapecuaro,492
16111,18251,Ziracuaretiro,100
5033,117370,San Pedro,2728
16113,27504,Jose Sixto Verduzco,260
17001,18861,Amacuzac,309
17002,24153,Atlatlahucan,401
17003,38236,Axochiapan,385
5034,7740,Sierra Mojada,57
17019,28871,Tepalcingo,327
12055,112561,Taxco de Alarcon,2405
15051,159948,Lerma,2154
16040,17595,Indaparapeo,87
5037,6859,Villa Union,316
7113,7152,Aldama,10
7114,21603,Benemerito de las Americas,82
5038,14203,Zaragoza,461
6001,32363,Armeria,642
6002,169188,Colima,9644
6003,23902,Comala,333
6004,22167,Coquimatlan,781
6005,32829,Cuauhtemoc,831
6006,6078,Ixtlahuacan,255
6007,203306,Manzanillo,8356
6008,9670,Minatitlan,227
6009,134631,Tecoman,5358
6010,151019,Villa de Alvarez,6817
7001,19856,Acacoyagua,26
7002,34494,Acala,47
7003,31069,Acapetahua,42
7004,35982,Altamirano,51
7005,21836,Amatan,15
8020,8541,Chinipas,203
8021,160245,Delicias,2800
8022,2770,Dr. Belisario Dominguez,15
8023,7056,Galeana,67
8024,4293,Santa Isabel,44
8025,9599,Gomez Farias,129
8026,2787,Gran Morelos,24
8027,49926,Guachochi,792
8028,5080,Guadalupe,29
8029,58658,Guadalupe y Calvo,161
7006,33860,Amatenango de la Frontera,46
8031,42409,Guerrero,414
8032,117624,Hidalgo del Parral,3395
8033,1070,Huejotitan,9
8034,7488,Ignacio Zaragoza,41
8035,11778,Janos,79
8036,45709,Jimenez,703
8037,1464930,Juarez,27323
8038,4913,Julimes,150
8039,4342,Lopez,58
8040,30936,Madera,162
8041,1731,Maguarichi,27
8042,1562,Manuel Benavides,76
8043,3306,Matachi,9
8044,4847,Matamoros,77
8045,48242,Meoqui,643
8046,8309,Morelos,72
8047,5520,Moris,24
7007,10779,Amatenango del Valle,17
7010,8324,Bejucal de Ocampo,5
8049,2831,Nonoava,72
8050,67320,Nuevo Casas Grandes,1329
8051,7989,Ocampo,106
8052,29996,Ojinaga,1162
17009,20372,Huitzilac,450
17010,18361,Jantetelco,233
17011,227649,Jiutepec,6423
17012,61366,Jojutla,1638
17013,16732,Jonacatepec,295
17014,10691,Mazatepec,189
17015,28263,Miacatlan,282
17016,19683,Ocuituco,229
17017,70917,Puente de Ixtla,1013
17018,123812,Temixco,2847
7011,22028,Bella Vista,14
7013,38101,Bochil,107
7014,24374,El Bosque,9
7015,50439,Cacahoatan,147
7016,19006,Catazaja,47
7017,93518,Cintalapa,132
7018,10035,Coapilla,4
7019,170498,Comitan de Dominguez,610
7020,50535,La Concordia,52
7021,24030,Copainala,19
7022,18016,Chalchihuitan,14
7023,95357,Chamula,19
9013,418060,Xochimilco,52613
17020,51373,Tepoztlan,741
17021,8326,Tetecala,219
17022,22015,Tetela del Volcan,251
20050,3644,Magdalena Peñasco,3
10010,4165,Hidalgo,50
7024,13332,Chanal,17
7025,8248,Chapultenango,6
7026,43453,Chenalho,18
7027,111223,Chiapa de Corzo,583
7028,6406,Chiapilla,17
10003,4649,Coneto de Comonfort,30
10004,37479,Cuencame,698
10005,695597,Durango,27338
10006,10812,General Simon Bolivar,24
10007,369760,Gomez Palacio,9126
10008,37792,Guadalupe Victoria,514
10009,10512,Guanacevi,91
7029,5605,Chicoasen,10
7030,38122,Chicomuselo,21
7031,140023,Chilon,18
7032,34628,Escuintla,32
10011,5392,Inde,46
10012,164763,Lerdo,2591
10013,28301,Mapimi,251
10014,40593,Mezquital,308
10015,13877,Nazas,80
10016,20881,Nombre de Dios,126
10017,10333,Ocampo,392
10018,12281,El Oro,230
10019,5513,Otaez,23
10020,12907,Panuco de Coronado,216
10021,11538,Peñon Blanco,68
10022,26935,Poanas,255
10023,53006,Pueblo Nuevo,1826
10024,14407,Rodeo,336
10025,3459,San Bernardo,24
10026,20114,San Dimas,533
10027,5917,San Juan de Guadalupe,9
10028,13310,San Juan del Rio,206
18003,12736,Amatlan de Cañas,58
18004,81920,Compostela,1621
18005,13540,Huajicori,95
7033,8278,Francisco Leon,3
7034,80805,Frontera Comalapa,64
